time,price
2024-04-09 19:30:00,40.09
2024-04-09 19:45:00,40.76
2024-04-09 20:00:00,41.14
2024-04-09 20:15:00,41.05
2024-04-09 20:30:00,40.73
2024-04-09 20:45:00,40.61
2024-04-09 21:00:00,34.68
2024-04-09 21:15:00,33.94
2024-04-09 21:30:00,34.05
2024-04-09 21:45:00,32.9
2024-04-09 22:00:00,33.83
2024-04-09 22:15:00,32.21
2024-04-09 22:30:00,30.92
2024-04-09 22:45:00,29.58
2024-04-09 23:00:00,29.67
2024-04-09 23:15:00,28.65
2024-04-09 23:30:00,27.55
2024-04-09 23:45:00,25.4
2024-04-10 00:00:00,31.22
2024-04-10 00:15:00,31.01
2024-04-10 00:30:00,30.08
2024-04-10 00:45:00,29.26
2024-04-10 01:00:00,30.12
2024-04-10 01:15:00,30.08
2024-04-10 01:30:00,28.35
2024-04-10 01:45:00,27.17
2024-04-10 02:00:00,31.49
2024-04-10 02:15:00,31.29
2024-04-10 02:30:00,30.13
2024-04-10 02:45:00,28.0
2024-04-10 03:00:00,27.12
2024-04-10 03:15:00,25.88
2024-04-10 03:30:00,24.9
2024-04-10 03:45:00,24.37
2024-04-10 04:00:00,23.86
2024-04-10 04:15:00,23.81
2024-04-10 04:30:00,23.43
2024-04-10 04:45:00,23.74
2024-04-10 05:00:00,24.32
2024-04-10 05:15:00,24.44
2024-04-10 05:30:00,24.87
2024-04-10 05:45:00,25.61
2024-04-10 06:00:00,27.54
2024-04-10 06:15:00,28.63
2024-04-10 06:30:00,29.98
2024-04-10 06:45:00,31.39
2024-04-10 07:00:00,38.42
2024-04-10 07:15:00,40.05
2024-04-10 07:30:00,41.53
2024-04-10 07:45:00,42.7
2024-04-10 08:00:00,42.85
2024-04-10 08:15:00,42.94
2024-04-10 08:30:00,43.2
2024-04-10 08:45:00,42.54
2024-04-10 09:00:00,41.86
2024-04-10 09:15:00,40.66
2024-04-10 09:30:00,39.66
2024-04-10 09:45:00,38.14
2024-04-10 10:00:00,37.8
2024-04-10 10:15:00,34.98
2024-04-10 10:30:00,34.49
2024-04-10 10:45:00,32.06
2024-04-10 11:00:00,30.99
2024-04-10 11:15:00,29.3
2024-04-10 11:30:00,28.48
2024-04-10 11:45:00,27.66
2024-04-10 12:00:00,23.68
2024-04-10 12:15:00,22.62
2024-04-10 12:30:00,22.41
2024-04-10 12:45:00,20.42
2024-04-10 13:00:00,16.84
2024-04-10 13:15:00,18.12
2024-04-10 13:30:00,17.08
2024-04-10 13:45:00,16.5
2024-04-10 14:00:00,17.2
2024-04-10 14:15:00,16.76
2024-04-10 14:30:00,16.67
2024-04-10 14:45:00,17.15
2024-04-10 15:00:00,16.84
2024-04-10 15:15:00,16.35
2024-04-10 15:30:00,16.45
2024-04-10 15:45:00,16.35
2024-04-10 16:00:00,16.7
2024-04-10 16:15:00,16.97
2024-04-10 16:30:00,18.17
2024-04-10 16:45:00,19.82
2024-04-10 17:00:00,22.52
2024-04-10 17:15:00,23.81
2024-04-10 17:30:00,24.66
2024-04-10 17:45:00,25.1
2024-04-10 18:00:00,26.46
2024-04-10 18:15:00,28.17
2024-04-10 18:30:00,28.9
2024-04-10 18:45:00,30.24
2024-04-10 19:00:00,33.24
2024-04-10 19:15:00,34.69
2024-04-10 19:30:00,36.97
2024-04-10 19:45:00,38.3
2024-04-10 20:00:00,39.22
2024-04-10 20:15:00,38.99
2024-04-10 20:30:00,39.36
2024-04-10 20:45:00,39.95
2024-04-10 21:00:00,34.97
2024-04-10 21:15:00,34.78
2024-04-10 21:30:00,35.63
2024-04-10 21:45:00,34.94
2024-04-10 22:00:00,35.13
2024-04-10 22:15:00,34.39
2024-04-10 22:30:00,33.19
2024-04-10 22:45:00,32.39
2024-04-10 23:00:00,32.58
2024-04-10 23:15:00,31.47
2024-04-10 23:30:00,30.62
2024-04-10 23:45:00,29.06
2024-04-11 00:00:00,30.83
2024-04-11 00:15:00,30.65
2024-04-11 00:30:00,29.94
2024-04-11 00:45:00,29.29
2024-04-11 01:00:00,29.59
2024-04-11 01:15:00,29.63
2024-04-11 01:30:00,28.76
2024-04-11 01:45:00,28.12
2024-04-11 02:00:00,30.49
2024-04-11 02:15:00,30.39
2024-04-11 02:30:00,29.66
2024-04-11 02:45:00,28.38
2024-04-11 03:00:00,27.73
2024-04-11 03:15:00,27.13
2024-04-11 03:30:00,26.71
2024-04-11 03:45:00,26.37
2024-04-11 04:00:00,26.2
2024-04-11 04:15:00,25.96
2024-04-11 04:30:00,25.8
2024-04-11 04:45:00,25.83
2024-04-11 05:00:00,26.24
2024-04-11 05:15:00,26.42
2024-04-11 05:30:00,26.77
2024-04-11 05:45:00,27.24
2024-04-11 06:00:00,28.32
2024-04-11 06:15:00,28.76
2024-04-11 06:30:00,29.39
2024-04-11 06:45:00,30.18
2024-04-11 07:00:00,36.26
2024-04-11 07:15:00,37.33
2024-04-11 07:30:00,37.94
2024-04-11 07:45:00,38.56
2024-04-11 08:00:00,38.76
2024-04-11 08:15:00,38.66
2024-04-11 08:30:00,38.56
2024-04-11 08:45:00,38.08
2024-04-11 09:00:00,37.44
2024-04-11 09:15:00,36.14
2024-04-11 09:30:00,34.55
2024-04-11 09:45:00,32.96
2024-04-11 10:00:00,31.92
2024-04-11 10:15:00,30.4
2024-04-11 10:30:00,29.38
2024-04-11 10:45:00,26.87
2024-04-11 11:00:00,25.87
2024-04-11 11:15:00,24.78
2024-04-11 11:30:00,23.04
2024-04-11 11:45:00,22.33
2024-04-11 12:00:00,21.45
2024-04-11 12:15:00,20.23
2024-04-11 12:30:00,19.97
2024-04-11 12:45:00,19.4
2024-04-11 13:00:00,18.54
2024-04-11 13:15:00,17.37
2024-04-11 13:30:00,15.52
2024-04-11 13:45:00,15.23
2024-04-11 14:00:00,16.24
2024-04-11 14:15:00,15.8
2024-04-11 14:30:00,15.63
2024-04-11 14:45:00,15.97
2024-04-11 15:00:00,15.45
2024-04-11 15:15:00,15.46
2024-04-11 15:30:00,15.66
2024-04-11 15:45:00,15.74
2024-04-11 16:00:00,16.38
2024-04-11 16:15:00,17.23
2024-04-11 16:30:00,17.2
2024-04-11 16:45:00,18.31
2024-04-11 17:00:00,19.71
2024-04-11 17:15:00,19.73
2024-04-11 17:30:00,21.0
2024-04-11 17:45:00,22.79
2024-04-11 18:00:00,23.42
2024-04-11 18:15:00,24.96
2024-04-11 18:30:00,26.43
2024-04-11 18:45:00,27.93
2024-04-11 19:00:00,28.88
2024-04-11 19:15:00,30.32
2024-04-11 19:30:00,31.87
2024-04-11 19:45:00,32.98
2024-04-11 20:00:00,34.32
2024-04-11 20:15:00,35.53
2024-04-11 20:30:00,36.39
2024-04-11 20:45:00,37.38
2024-04-11 21:00:00,31.76
2024-04-11 21:15:00,31.86
2024-04-11 21:30:00,32.67
2024-04-11 21:45:00,32.32
2024-04-11 22:00:00,31.98
2024-04-11 22:15:00,31.57
2024-04-11 22:30:00,31.13
2024-04-11 22:45:00,30.65
2024-04-11 23:00:00,30.67
2024-04-11 23:15:00,30.11
2024-04-11 23:30:00,29.72
2024-04-11 23:45:00,29.02
